site_name,site,dt,month,year,time,hour,secchi,secchi_on_bottom,Sample Comments,Validation Comments
ROYAL RIVER - RR-13,RR-13,2017-07-17,Jul,2017,NA,NA,1.5,TRUE,DISK HIT BOTTOM,NA
ROYAL RIVER - RR-13,RR-13,2017-08-07,Aug,2017,NA,NA,1.06,FALSE,NA,NA
ROYAL RIVER - RR-13,RR-13,2017-08-29,Aug,2017,NA,NA,1.45,FALSE,NA,NA
ROYAL RIVER - RR-13,RR-13,2017-09-20,Sep,2017,NA,NA,1.58,FALSE,NA,NA
ROYAL RIVER - RR-19,RR-19,2016-08-09,Aug,2016,NA,NA,1.12,FALSE,NA,NA
ROYAL RIVER - RR-19,RR-19,2017-06-01,Jun,2017,NA,NA,0.66,FALSE,NA,NA
ROYAL RIVER - RR-19,RR-19,2017-08-29,Aug,2017,NA,NA,1.35,FALSE,NA,NA
ROYAL RIVER - RR-19,RR-19,2017-09-20,Sep,2017,NA,NA,1.85,FALSE,NA,NA
ROYAL RIVER - RR-20,RR-20,2017-06-26,Jun,2017,NA,NA,1.47,FALSE,NA,NA
ROYAL RIVER - RR-20,RR-20,2017-07-17,Jul,2017,NA,NA,1.31,FALSE,NA,NA
ROYAL RIVER - RR-20,RR-20,2017-08-07,Aug,2017,NA,NA,1.07,FALSE,NA,NA
WALTON PARK - PRV70,PRV70,2017-06-02,Jun,2017,NA,NA,0.3,TRUE,DISK HIT BOTTOM,NA
WALTON PARK - PRV70,PRV70,2017-06-27,Jun,2017,NA,NA,1.5,FALSE,NA,NA
WALTON PARK - PRV70,PRV70,2017-07-18,Jul,2017,NA,NA,1.65,FALSE,NA,NA
WALTON PARK - PRV70,PRV70,2017-08-08,Aug,2017,NA,NA,2.35,FALSE,NA,NA
WALTON PARK - PRV70,PRV70,2017-08-30,Aug,2017,NA,NA,2.32,FALSE,NA,NA
WALTON PARK - PRV70,PRV70,2017-09-25,Sep,2017,NA,NA,2.64,FALSE,NA,NA
WALTON PARK - PRV70,PRV70,2018-05-10,May,2018,NA,NA,3.05,FALSE,NA,NA
WALTON PARK - PRV70,PRV70,2018-05-31,May,2018,NA,NA,1.82,FALSE,NA,NA
WALTON PARK - PRV70,PRV70,2018-06-25,Jun,2018,NA,NA,1.48,FALSE,NA,NA
WALTON PARK - PRV70,PRV70,2018-07-18,Jul,2018,NA,NA,1.18,FALSE,NA,NA
WALTON PARK - PRV70,PRV70,2018-08-08,Aug,2018,NA,NA,1.81,FALSE,NA,NA
WALTON PARK - PRV70,PRV70,2018-08-30,Aug,2018,NA,NA,3.08,FALSE,NA,NA
WALTON PARK - PRV70,PRV70,2018-09-20,Sep,2018,NA,NA,2.69,FALSE,NA,NA
WALTON PARK - PRV70,PRV70,2018-10-12,Oct,2018,NA,NA,2.07,FALSE,NA,NA
WALTON PARK - PRV70,PRV70,2019-05-15,May,2019,NA,NA,1.56,FALSE,NA,NA
WALTON PARK - PRV70,PRV70,2019-06-05,Jun,2019,NA,NA,2.01,FALSE,NA,NA
WALTON PARK - PRV70,PRV70,2019-06-27,Jun,2019,NA,NA,0.92,FALSE,DRIFT WITH CURRENT,NA
WALTON PARK - PRV70,PRV70,2019-07-19,Jul,2019,NA,NA,1.19,FALSE,NA,NA
WALTON PARK - PRV70,PRV70,2019-08-12,Aug,2019,NA,NA,1.78,FALSE,NA,NA
WALTON PARK - PRV70,PRV70,2019-09-03,Sep,2019,NA,NA,2,FALSE,NA,NA
WALTON PARK - PRV70,PRV70,2019-09-24,Sep,2019,NA,NA,2.45,FALSE,NA,NA
WALTON PARK - PRV70,PRV70,2019-10-16,Oct,2019,NA,NA,2.46,FALSE,NA,NA
WALTON PARK - PRV70,PRV70,2020-05-26,May,2020,NA,NA,1.98,FALSE,NA,NA
WALTON PARK - PRV70,PRV70,2020-06-16,Jun,2020,NA,NA,1.52,FALSE,NA,NA
WALTON PARK - PRV70,PRV70,2020-07-16,Jul,2020,NA,NA,0.94,FALSE,NA,NA
WALTON PARK - PRV70,PRV70,2020-07-29,Jul,2020,NA,NA,2.07,FALSE,NA,NA
WALTON PARK - PRV70,PRV70,2020-08-21,Aug,2020,NA,NA,2.08,FALSE,NA,NA
WALTON PARK - PRV70,PRV70,2020-09-14,Sep,2020,NA,NA,3.02,FALSE,NA,NA
WALTON PARK - PRV70,PRV70,2020-09-24,Sep,2020,NA,NA,0.18,FALSE,NA,NA
WALTON PARK - PRV70,PRV70,2020-10-19,Oct,2020,NA,NA,0.55,FALSE,NA,NA
