site,short_name,years,nox_n_mn,nox_n_sd,nox_n_n,nox_n_md,nox_n_iqr,nox_n_p90,nox_n_gm,nh4_n_mn,nh4_n_sd,nh4_n_n,nh4_n_md,nh4_n_iqr,nh4_n_p90,nh4_n_gm,din_mn,din_sd,din_n,din_md,din_iqr,din_p90,din_gm,on_mn,on_sd,on_n,on_md,on_iqr,on_p90,on_gm,tn_mn,tn_sd,tn_n,tn_md,tn_iqr,tn_p90,tn_gm,chl_mn,chl_sd,chl_n,chl_md,chl_iqr,chl_p90,chl_gm,tss_mn,tss_sd,tss_n,tss_md,tss_iqr,tss_p90,tss_gm
LC02,Long Creek 2,2016,0.036,0.03243454948045371,4,0.034999999999999996,0.054,0.06520000000000001,0.022526114992447534,0.0565,0.029760152329359246,4,0.0675,0.024499999999999994,0.0765,0.046284771726043006,0.0925,0.03128897569432404,4,0.08,0.017,0.12130000000000002,0.08914834410501489,0.11175,0.026986107537027276,4,0.11100000000000002,0.04425000000000001,0.13620000000000002,0.10928327335216365,0.20425,0.024005207768315603,4,0.2105,0.016249999999999987,0.2218,0.20312336234294437,2.67,1.4110516172935228,4,2.41,1.21,4.018000000000001,2.4022374940674855,7.375,4.522812546782514,4,5.85,2.7749999999999995,11.600000000000001,6.531071444198336
P6FGG,Fort Gorges,2018 - 2020,0.02179,0.016566730382171237,10,0.01995,0.01205,0.03311999999999999,0.01638479078909499,0.02225,0.02063111381246435,8,0.013000000000000001,0.015500000000000002,0.047799999999999995,0.016467085289802057,0.0438,0.036613151423263976,8,0.03425,0.015024999999999997,0.07649999999999998,0.03479707583818378,0.240325,0.0429353916616916,8,0.2385,0.047650000000000026,0.29847,0.23699597665021194,0.293596298555625,0.08415523439453709,16,0.26923495045,0.11034840655249997,0.38,0.28334024653204326,3.2101,1.6747112819163121,10,3.215,2.475,4.907999999999999,2.7488280209954703,4.01,1.3008117123977285,10,4.1,1.6499999999999995,5.56,3.80330132954142
P7CBI,Clapboard Island,2018 - 2020,0.011266666666666666,0.011937650522611221,9,0.01,0.01,0.02785999999999999,0.006419052880780902,0.025500000000000002,0.01886796226411321,8,0.0205,0.034249999999999996,0.05,0.018783843321249494,0.0337625,0.019247110172698655,8,0.0325,0.031725,0.054400000000000004,0.027810630875156006,0.1716125,0.0539793727137638,8,0.17099999999999999,0.062,0.22226999999999997,0.1647690424021,0.2249306372725,0.07333813624089706,16,0.19837728144,0.06867430760749998,0.27924212046499997,0.216051234013078,2.763333333333333,1.242175510948433,9,2.74,1.9100000000000001,3.969999999999999,2.5274139155775353,2.7777777777777777,1.4131328474154312,9,2.5,1.1,3.719999999999998,2.537192620589008
PR-17,Presumpscot 17,2018 - 2020,0.08403478260869565,0.02463935522871807,23,0.091,0.0379,0.1094,0.07955644289743469,0.0669090909090909,0.03369881881624918,22,0.057999999999999996,0.020250000000000004,0.11170000000000004,0.06066906645713587,0.14967272727272726,0.04346570823313238,22,0.1505,0.05779999999999999,0.20056000000000002,0.14380474057322362,0.28765,0.15426737902346443,14,0.24259999999999998,0.15822500000000003,0.41800000000000004,0.25407171641245774,0.4423441417632,0.14978768391268105,25,0.403,0.18813085010999997,0.582468958952,0.4198701796510548,2.131727272727273,2.052390782009587,22,1.29,1.4699999999999998,6.057000000000003,1.456192818669862,8.578260869565216,6.177669207552689,23,5.7,5.700000000000001,19.44,7.015578878035393
PR-28,Presumpscot 28,2018 - 2020,0.04807391304347826,0.02580127229758085,23,0.047,0.0364,0.0843,0.03971919886324637,0.041761904761904764,0.027438849760703824,21,0.036,0.038,0.078,0.033401498674669135,0.08871904761904761,0.04392009356829308,21,0.09,0.047899999999999984,0.14300000000000002,0.07516066392188094,0.2312846153846154,0.08787038604438781,13,0.24200000000000002,0.11410000000000003,0.33246000000000003,0.214741049967792,0.3166157807196,0.0904854100563741,25,0.31555733772,0.12976599826000002,0.43391684048,0.30415522345070656,2.1856521739130437,1.6022477849655081,23,1.84,1.38,3.1980000000000004,1.776752700088372,6.236,2.974878148765088,25,6,3,7.8,5.698078444983492
PRV70,Walton Park,2018 - 2020,0.10604545454545454,0.03184242045227938,22,0.1145,0.043325,0.1406,0.10041609619946948,0.078,0.05303637565725191,22,0.064,0.06875,0.123,0.061019874899350714,0.18404545454545454,0.07390455058656806,22,0.19485,0.117,0.2594,0.16919612300728112,0.17362,0.08387334158462645,15,0.147,0.127,0.27312000000000003,0.14855790856905368,0.39518407421125,0.18258380919236405,24,0.3405,0.11950000000000005,0.545969741215,0.36822203397371284,0.92505,0.6439380057607703,20,0.757,0.40400000000000025,1.613000000000001,0.7310856332155102,9.747826086956522,25.94896861788568,23,2.7,2.25,8.06,4.086749564423655
RR-01,Royal 01,2017,0.29283333333333333,0.09539269713487855,6,0.28200000000000003,0.13199999999999995,0.399,0.27984036763601067,0.018,0.007183313998427188,6,0.016,0.003499999999999998,0.025,0.017062604501269132,0.31083333333333335,0.09826986652411139,6,0.305,0.13875000000000004,0.4165,0.29763709094575164,0.3035,0.1629414005095083,6,0.349,0.23274999999999998,0.45399999999999996,0.24858748318848928,0.6143333333333333,0.16943632038812298,6,0.6485000000000001,0.12474999999999992,0.7615,0.5908504085303932,5.22,3.5837299005365906,6,4.51,4.4325,9.315000000000001,3.957228206599324,5.733333333333333,4.615481195570692,6,4.449999999999999,1.2000000000000002,9.85,4.757985582933961
RR-06,Royal 06,2017,0.13583333333333333,0.02655873992994899,6,0.1315,0.03,0.1655,0.13359856941268078,0.015833333333333335,0.010759491933482114,6,0.017,0.013750000000000002,0.026500000000000003,0.01205190461969093,0.15166666666666667,0.036120169803956714,6,0.14700000000000002,0.04025000000000001,0.192,0.14798626251319574,0.3083333333333333,0.09759439874637614,6,0.299,0.16174999999999998,0.4175,0.2953699737592226,0.45999999999999996,0.10432257665529546,6,0.4405,0.14875,0.584,0.450388541685778,10.568333333333333,13.912951400284078,6,6.2,4.585,23.405,5.737123147359533,8.6,3.6193922141707717,6,8.5,3.1500000000000012,12.15,8.023295130652562
RR-13,Royal 13,2017,0.08283333333333333,0.04532732803361198,6,0.077,0.06525,0.1355,0.07191162304039059,0.014166666666666666,0.012560520159080461,6,0.0095,0.01375,0.028999999999999998,0.010221499512991398,0.097,0.04573838650411708,6,0.0865,0.04100000000000001,0.1485,0.08732006754193504,0.3245,0.0715534765053383,6,0.3255,0.11025000000000001,0.401,0.31775805361091447,0.4215,0.09323679531172231,6,0.41200000000000003,0.10525000000000001,0.523,0.41284009490808093,6.835,6.1909377318787495,6,5.395,1.6450000000000005,12.51,4.906084021909604,9.85,2.7281862106535177,6,9.399999999999999,3.7500000000000018,13,9.523733915311245
RR-19,Royal 19,2017,0.08333333333333333,0.04273562136360408,3,0.107,0.03749999999999999,0.1086,0.07346769215768464,0.011333333333333332,0.012701705922171767,3,0.004,0.011,0.021599999999999998,0.007465022313634496,0.09466666666666668,0.05008326400438906,3,0.113,0.04749999999999999,0.129,0.08296684212874597,0.2673333333333333,0.21283874960479662,3,0.34299999999999997,0.20249999999999996,0.4141999999999999,0.158750052286754,0.362,0.21313610674871583,3,0.381,0.21249999999999997,0.5281999999999999,0.3111958664584463,7.626666666666666,8.276233040057132,3,4.99,7.955,14.517999999999997,4.370597519652001,7.866666666666666,1.6165807537309518,3,7.6,1.5999999999999996,9.2,7.758092137343807
